,path,annotation,labels
0,20171225_144400.jpg,20171225_144400.png,20171225_144400.npy
1,20171225_144357.jpg,20171225_144357.png,20171225_144357.npy
2,20171225_145022.jpg,20171225_145022.png,20171225_145022.npy
4,20171225_144403.jpg,20171225_144403.png,20171225_144403.npy
5,20171225_145425.jpg,20171225_145425.png,20171225_145425.npy
7,20171225_145224.jpg,20171225_145224.png,20171225_145224.npy
8,20171225_145032.jpg,20171225_145032.png,20171225_145032.npy
10,20171225_145215.jpg,20171225_145215.png,20171225_145215.npy
11,20171225_145241.jpg,20171225_145241.png,20171225_145241.npy
12,20171225_145150.jpg,20171225_145150.png,20171225_145150.npy
13,20171225_145031.jpg,20171225_145031.png,20171225_145031.npy
14,20171225_145202.jpg,20171225_145202.png,20171225_145202.npy
15,20171225_144351.jpg,20171225_144351.png,20171225_144351.npy
16,20171225_145038.jpg,20171225_145038.png,20171225_145038.npy
17,20171225_144353.jpg,20171225_144353.png,20171225_144353.npy
